Session ID,Player ID,Player Name,Game Name,Platform,Region,Session Date,Session Duration (min),In-Game Purchase ($),Purchase Type,Session Status,Player Type,Level Reached,Is Suspicious
S00001,P3652,harrisrichard,BattleZone,Console,East,2025-02-08,179,0,None,Completed,Free,42,Yes
S00002,P9981,wlee,Zombie Rush,Mobile,Central,2024-12-16,75,26.02,Boosters,Completed,Paid,11,No
S00003,P5280,katie47,SpeedX,Console,East,2024-12-17,36,2.94,Subscriptions,Completed,Paid,4,No
S00004,P2930,isaac85,Clash of Realms,Mobile,Central,2025-06-12,153,0,None,Completed,Free,18,Yes
S00005,P7925,ballarddouglas,Zombie Rush,Mobile,North,2025-05-21,109,5.48,Boosters,Crashed,Paid,5,No
S00006,P9919,lrichardson,Zombie Rush,Mobile,North,2025-03-27,46,0,None,Crashed,Free,39,No
S00007,P7231,holmesbruce,Clash of Realms,Console,North-East,2025-04-12,134,42.57,Battle Pass,Exited Early,Paid,40,Yes
S00008,P5965,lhansen,BattleZone,PC,South,2025-01-09,38,0,None,Exited Early,Free,14,No
S00009,P3834,alexis47,Clash of Realms,PC,East,2025-02-07,24,0,None,Exited Early,Free,45,No
S00010,P4220,ryanmarshall,Zombie Rush,PC,North,2025-05-14,138,0,None,Exited Early,Free,48,No
S00011,P1038,alexandriaparrish,SpeedX,Console,North,2025-04-09,26,0,None,Crashed,Free,27,No
S00012,P7407,jacobhaynes,Zombie Rush,PC,North,2025-04-21,142,0,None,Completed,Free,23,No
S00013,P4776,xjoseph,SpeedX,Mobile,South,2025-03-08,100,0,None,Completed,Free,36,No
S00014,P6935,yjohnson,BattleZone,PC,East,2025-05-17,78,0,None,Completed,Free,35,No
S00015,P9150,lesliemiller,Empire Wars,PC,West,2025-03-03,151,0,None,Completed,Free,47,Yes
S00016,P9796,raynatalie,BattleZone,Mobile,East,2025-01-07,163,0,None,Completed,Free,50,Yes
S00017,P5317,xtaylor,BattleZone,PC,East,2025-01-24,128,0,None,Incomplete,Free,7,No
S00018,P5320,aguilarjennifer,Empire Wars,Console,North-East,2025-01-28,173,0,None,Exited Early,Free,30,Yes
S00019,P8261,lmeza,SpeedX,Mobile,North,2025-04-22,49,0,None,Exited Early,Free,47,No
S00020,P6549,michael06,Zombie Rush,Mobile,Central,2025-02-14,94,0,None,Crashed,Free,48,No
S00021,P1758,lawsonderrick,BattleZone,PC,North-East,2025-05-31,168,0,None,Completed,Free,33,Yes
S00022,P5785,icrawford,Clash of Realms,Console,North,2025-05-13,86,0,None,Completed,Free,34,No
S00023,P4722,david54,Zombie Rush,Console,North,2025-03-22,58,0,None,Completed,Free,37,No
S00024,P8146,rcraig,SpeedX,PC,West,2025-03-24,121,7.28,Boosters,Completed,Paid,34,No
